ADSET;TEMPERATURA
VV - 50% | App Financeiro + Vendas | 180D;MORNO
Semelhante de Compra 14D;FRIO
Visitantes FB + IG 180D;QUENTE
Visitantes FB + IG 180D + Pixel - PageView | Site Asimov | 180D;QUENTE
Pixel - PageView | Site Asimov | 180D;QUENTE
Pixel - PageView | Trilha Dash | 180D;QUENTE
Pixel - PageView | Trilha Dash | 14D;QUENTE
Pixel - Checkout | Todos os Produtos | 180D;QUENTE
VV - 50% | Três Cursos + Cinco Projetos | 180D + VV - 50% | App Financeiro + Vendas | 180D;MORNO
Semelhante de Compra 180D;FRIO
Semelhante de Envolvimento 180D;FRIO
VV - ThruPlay | Conversão/Remarketing DIP | 180D;MORNO
Semelhante de Compra 90D + Envolvimento 180D;FRIO
Engajamento FB + IG 21D;QUENTE
Pixel - PageView | Trilha Dash | 30D + Pixel - Assinar | Clicou em assinar DIP | 30D;QUENTE
PageView - Trilha Dash 14D;QUENTE
Semelhante de Purchase 90D + Envolvimento 180D;FRIO
02 - Interesses em Programação [purchase];FRIO
02 - Interesses em Programação [checkout];FRIO
02 - Interesses: Iniciantes em programação [20-40] [H+];FRIO
02 - Interesses: Analistas [20-40] [H+];FRIO
02 - Interesses: Data Science BI [20-45] [H+] - Errado!;FRIO
02 - Interesses: Usuários de Excel/Power BI [20-40] [H+];FRIO
02 - Interesses: Data Science BI [20-40] [H+] - Correto;FRIO
02 - Interesses: Usuários de Excel/Power BI [20-45] [H+];FRIO
02 - [Etapa 1: Teste de criativo] - Semelhantes a compradores 3%;FRIO
45_Dashboardnyc;FRIO
02 - [Etapa 2: Teste de publico] - Interesse 06 (python  [18-25]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 01 (excel [25-45] mulheres);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 02 (excel [25-45] homens);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 02 (excel [18-25]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 05 (python -  homens);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 04 (python - mulheres);FRIO
02 -  [Etapa 1: Teste de criativo] - Interesses em trader;FRIO
02 - [Etapa 2: Teste de publico] - Interesse 06 (base data science - mulheres);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 05 (base data science - homens);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 04 (python - [35-45]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 02 (data science - [35-45]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 03 (python - [25-35]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 01 (data science - [25-35]);FRIO
02 - [Etapa 3: Escala] - Interesse 05 (python -  homens);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 01 (python  [18-25] [sem faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 04 (python  [18-25] [com faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 02 (python  [25-35] [sem faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 06 (python  [35-45] [com faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 05 (python  [25-35] [com faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 03 (python  [35-45] [sem faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 06 (python  [36-45] [com faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 05 (python  [26-35] [com faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 02 (python  [26-35] [sem faculdade]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 03 (python  [36-45] [sem faculdade]);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 03 (trading [36-45] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 02 (trading [26-35] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 05 (investimento [26-35] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 01 (trading [18-25] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 04 (investimento [18-25] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 06 (investimento [36-45] H);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 04 (python - [36-45]);FRIO
02 - [Etapa 2: Teste de publico] - Interesse 02 (data science - [36-45]);FRIO
[QUA] PageView | Site Asimov | 10D | Auto;QUENTE
[DIP] PageView | Site Asimov | 10D | Feeds;QUENTE
[DIP] PageView | Site Asimov | 10D | Story IG;QUENTE
02 -  [Etapa 3: Escala] - Interesse 01 (trading [18-25] H);FRIO
[AT] PageView | Site Asimov | 10D | Auto;QUENTE
02 -  [Etapa 2: Teste de publico] - Interesse 06 (programação [26-35] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 03 (exatas [18-25] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 05 (programação [18-25] H);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse 04 (exatas [26-35] H);FRIO
02 - [Etapa 1: Criativo] - Semelhantes a compradores 3%;FRIO
02 - [Etapa 3: Escala] - Interesse 02 (python  [26-35] [sem faculdade]);FRIO
02 - [Etapa 2: Público] - Interesse 01 (python  [18-25] [sem faculdade]);FRIO
02 - [Etapa 2: Público] - Interesse 05 (python  [26-35] [com faculdade]);FRIO
02 - [Etapa 2: Público] - Interesse 04 (python  [18-25] [com faculdade]);FRIO
02 - [Etapa 2: Público] - Interesse 02 (python  [26-35] [sem faculdade]);FRIO
02 -  [Etapa 2: Teste de publico] - Interesse [trading + investimentos E programação];FRIO
02 -  [Etapa 2: Teste de publico] - Interesse [trading + investimentos E faculdade];FRIO
02 -  [Etapa 2: Teste de publico] - Interesse [trading + investimentos E exatas];FRIO
02 - [Etapa 3: Escala] - Interesse 04 (python  [18-25] [com faculdade]);FRIO
05 -Público Analista de Dados;FRIO
05 - Público de desenvolvedores;FRIO
02 -  [Etapa 1] - Público de Profissionais do Mercado Financeiro;FRIO
02 - [Etapa 1] - Público de desenvolvedores;FRIO
02 - [Etapa 1] - Público Analista de Dados;FRIO
02 - Engajamentos 60D + Direct IG 180D [AUTO];QUENTE
05 -Engajamentos 180D [AUTO]' '01 -  Site Asimov 30D | Env. 3D [AUTO];QUENTE
03 - Video View 90D + Salvou IG 180D [AUTO];QUENTE
04 - Site Asimov 180D [AUTO];QUENTE
01 -  Site Asimov 30D | Env. 3D [AUTO];QUENTE
05 -Engajamentos 180D [AUTO];QUENTE
[QUA] PageView | Site Asimov | 10D | Story IG;QUENTE
[DIP] PageView | 10D | Story IG;QUENTE
[DIP] PageView | 10D | Feeds;QUENTE
02 - [Etapa 1: Criativo] - Público de desenvolvedores;FRIO
02 - [Etapa 1: Criativo] - Público Analista de Dados;FRIO
04 - Engajamentos FB/IG 60D';QUENTE
03 - Cadastrados 60D;QUENTE
05 - Público de desenvolvedores  -  gasprices;FRIO
01- Engajamentos FB/IG 3D;QUENTE
05 -Público Analista de Dados - gasprices;FRIO
02 - Viu página de vendas 60D + checkout 60D;QUENTE
05 - Semelhantes a compradores 3%  - Mybudget;FRIO
[QUA] PageView | 10D | Story IG;QUENTE
01 - Salvou 7D + Direct 7D;QUENTE
05 - Público de desenvolvedores  -  nycsales;FRIO
05 -Público Analista de Dados - nycsales;FRIO
05 - Semelhantes a compradores 3%  - nycsales;FRIO
05 - Interesses em Programação  - nycsales;FRIO
05 - Público de desenvolvedores  - Mybudget;FRIO
05 - Semelhantes a compradores 3%  - gasprices;FRIO
05 - Interesses em Programação  - gasprices;FRIO
05 -Público Analista de Dados - Mybudget;FRIO
05 - Interesses em Programação  - Mybudget;FRIO
03 - [QUANT] Engajamentos FB/IG 60D;QUENTE
01 - [QUANT] Salvou 7D + Direct 7D;QUENTE
01 - [QUANT] Engajamentos FB/IG 3D;QUENTE
02 - [QUANT] Viu página de vendas 60D;QUENTE
01 - [DIP] Engajamentos FB/IG 3D;QUENTE
01 - [DIP] Salvou 7D + Direct 7D;QUENTE
03 - [DIP] Cadastrados 60D;QUENTE
02 - [DIP] Viu página de vendas 60D + checkout 60D;QUENTE
04 - [DIP] Engajamentos FB/IG 60D;QUENTE
02 - Semelhante (BR, 5%) - Pixel - Purchase | Todos os Produtos | 180D;FRIO
02 -  [Etapa 1] - Semelhante (BR, 1% to 2%) - Lista | Compradores cartão de crédito;FRIO
02 -  [Etapa 1] - Semelhante (BR, 1%) - Pixel - PageView | Trilha Trading Quant | 60D;FRIO
00 - Aberto [VideoView] QUANT;FRIO
00 - Aberto [Engajamento] QUANT;FRIO
00 - Aberto [VideoView] DIP;FRIO
00 - Aberto [Engajamento] DIP;FRIO
02 -  [Etapa 1] - Semelhante (BR, 3%) - Pixel - Purchase | Todos os Produtos | 90D;FRIO
02 - [Etapa 1: Criativo] - Público Analista de Dados (sem exclusão, sem inclusão de comportamento);FRIO
PageView | ThruPlay | 60D | 67_OPRS_Nyc;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 67_OPRS_Nyc;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 66_OPRS_Sales;QUENTE
[DIP] PageView | 10D | AUTO - 48_exceldashboard;QUENTE
[DIP] PageView | 10D | Story - 34_dashboard_faceads_STORIES;QUENTE
[DIP] PageView | 10D | Story IG - 29_vv100_Python_STORY_NOVO;QUENTE
PageView | ThruPlay | 60D | 69_Projetos_DIP_06_HEADING_PT3_REELS;QUENTE
[DIP] PageView | 10D | Story IG - 25_questionario_sistemas_STORY_NOVO;QUENTE
PageView | ThruPlay | 60D | 25_questionario_sistemas;QUENTE
PageView | ThruPlay | 60D |  23_OPRS_Quant_para_qualquer_mercado;QUENTE
[PAUSADO] PageView | ThruPlay | 60D |  23_OPRS_Quant_para_qualquer_mercado;QUENTE
PageView | ThruPlay | 60D | 22_OPRS_Indicacao_de_livros;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 22_OPRS_Indicacao_de_livros;QUENTE
PageView | ThruPlay | 60D | 21_OPRS_Quant_sem_matematica;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 25_questionario_sistemas;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 70_Apresentação_DIP;QUENTE
PageView | ThruPlay | 60D | 70_Apresentação_DIP;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 71_OPRS_DIP_My_Budget;QUENTE
02 - Público Analista de Dados (sem exclusão, sem inclusão de comportamento);FRIO
[DIP] PageView | 10D | Feeds - Porque_aprender_python (estático);QUENTE
[DIP] PageView | 10D | Story IG - Porque_aprender_python (estático);QUENTE
[QUA] PageView | 10D | Auto - Criativo Prontidão_1;QUENTE
PageView | ThruPlay | 60D | 74_OPRS_DIP_Associates;QUENTE
PageView | ThruPlay | 60D | 73_OPRS_DIP_Gas_Prices;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 73_OPRS_DIP_Gas_Prices;QUENTE
PageView | ThruPlay | 60D | 72_OPRS_DIP_Covid;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 72_OPRS_DIP_Covid;QUENTE
PageView | ThruPlay | 60D | 71_OPRS_DIP_My_Budget;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 21_OPRS_Quant_sem_matematica;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 20_OPRS_Comecar_no_Quant;QUENTE
PageView | ThruPlay | 60D | 19_MagnetAds_3_REELS;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 19_MagnetAds_3_REELS;QUENTE
PageView | ThruPlay | 60D | 18_MagnetAds_2_REELS;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 18_MagnetAds_2_REELS;QUENTE
PageView | ThruPlay | 60D | 17_MagnetAds_1;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 17_MagnetAds_1;QUENTE
PageView | ThruPlay | 60D | 16_remarketing_conteúdos;QUENTE
[PAUSADO] [QUA] PageView | 10D | Auto - 16_remarketing_conteúdos;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 16_remarketing_conteúdos;QUENTE
[QUA] PageView | 10D | Auto - 15_remarketing_vitalício2;QUENTE
[PAUSADO] [QUA] PageView | 10D | Auto - 14_remarketing_vitalício;QUENTE
[PAUSADO] PageView | ThruPlay | 60D | 13_criativo_prontidão;QUENTE
PageView | ThruPlay | 60D | 13_criativo_prontidão;QUENTE
PageView | ThruPlay | 60D | 20_OPRS_Comecar_no_Quant;QUENTE
[DIP] PageView | 10D | Story - 27_GasPrice_Nativo2_STORY;QUENTE
[DIP] PageView | 10D | Story - 28_NYSales_Nativo_STORY;QUENTE
[DIP] PageView | 10D | Auto - 48_exceldashboard;QUENTE
PageView | ThruPlay | 60D | 66_OPRS_Sales;QUENTE
PageView | ThruPlay | 60D | 69_Projetos_DIP_02;QUENTE
[QUA] PageView | 10D | Auto - 14_remarketing_vitalício;QUENTE
[QUA] PageView | 10D | Auto - 16_remarketing_conteúdos;QUENTE
02 -  Trading strategy (Interesse único);FRIO
PageView | 75% | 60D | 25_questionario_sistemas;QUENTE
PageView | 25% | 60D |  23_OPRS_Quant_para_qualquer_mercado;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D |  23_OPRS_Quant_para_qualquer_mercado;QUENTE
PageView | 25% | 60D | 22_OPRS_Indicacao_de_livros;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 22_OPRS_Indicacao_de_livros;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 21_OPRS_Quant_sem_matematica;QUENTE
PageView | 25% | 60D | 21_OPRS_Quant_sem_matematica;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 20_OPRS_Comecar_no_Quant;QUENTE
PageView | 25% | 60D | 20_OPRS_Comecar_no_Quant;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 19_MagnetAds_3_REELS;QUENTE
PageView | 25% | 60D | 19_MagnetAds_3_REELS;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 18_MagnetAds_2_REELS;QUENTE
PageView | 25% | 60D | 18_MagnetAds_2_REELS;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 17_MagnetAds_1;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 25_questionario_sistemas;QUENTE
PageView | 25% | 60D | 17_MagnetAds_1;QUENTE
PageView | 75% | 60D | 74_OPRS_DIP_Associates;QUENTE
PageView | 75% | 60D | 73_OPRS_DIP_Gas_Prices;QUENTE
PageView | 75% | 60D | 72_OPRS_DIP_Covid;QUENTE
PageView | 75% | 60D | 71_OPRS_DIP_My_Budget;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 70_Apresentação_DIP;QUENTE
PageView | 75% | 60D | 70_Apresentação_DIP;QUENTE
PageView | 75% | 60D | 69_Projetos_DIP_06_HEADING_PT3_REELS;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 69_Projetos_DIP_06_HEADING_PT3_REELS;QUENTE
PageView | 75% | 60D | 69_Projetos_DIP_02;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 69_Projetos_DIP_02;QUENTE
PageView | 75% | 60D | 67_OPRS_Nyc;QUENTE
PageView | 75% | 60D | 66_OPRS_Sales;QUENTE
PageView | 25% | 60D | 16_remarketing_conteúdos;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 16_remarketing_conteúdos;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 67_OPRS_Nyc;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 66_OPRS_Sales;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 13_criativo_prontidão;QUENTE
PageView | 25% | 60D | 13_criativo_prontidão;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 74_OPRS_DIP_Associates;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 73_OPRS_DIP_Gas_Prices;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 72_OPRS_DIP_Covid;QUENTE
[PAUSADO 2] PageView | ThruPlay | 60D | 71_OPRS_DIP_My_Budget;QUENTE
02 - Público de desenvolvedores (sem formação);FRIO
02 -  Semelhante (BR, 1%) - Pixel - BlackFriday | Obrigado | 30D;QUENTE
02 Semelhante (BR, 3%) - Pixel - Purchase | Todos os Produtos | 90D;QUENTE
[QUA] PageView | 10D | Auto;QUENTE
PageView | 25% | 60D | 26_Backtesting;QUENTE
[DIP] PageView | 10D | Story;QUENTE
[DIP] PageView | 10D | Auto;QUENTE
PageView | 25% | 60D | 24_OPRS_Oferta;QUENTE
[TESTE PAGEVIEW] Semelhante (BR, 5%) - Pixel - Purchase | Todos os Produtos | 90D;QUENTE
02 - Público de Profissionais do Mercado Financeiro;FRIO
